"brand","model","color","price","km","year","transmission","eng_power","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate"
"Seat","Arona","Red","20499","24413km","5/2020","Manual","66 kW (90 hp)","999cc","Diesel","5 l/100km","4x2","France","https://carvago.com/car/50944079/seat-arona-tdi-66-kw",2022-10-21
"Cadillac","XT4","Other interior color","46699","2140km","3/2022","Automatic","128 kW (174 hp)","1995cc","Diesel","6.7 l/100km","4x4","Italy","https://carvago.com/car/51990634/cadillac-xt4-350d-awd-128-kw",2022-10-21
"Tesla","Model 3","Grey","47299","49995km","12/2019","Automatic","324 kW (441 hp)","Noemissionclass","Electric","4x4",NA,"Italy","https://carvago.com/car/52244324/tesla-model-3-324-kw",2022-10-21
"Audi","Q2","White","25949","9100km","11/2021","Manual","110 kW (150 hp)","1498cc","Petrol","6 l/100km","4x2","Sweden","https://carvago.com/car/50782575/audi-q2-110-kw",2022-10-21
"Mercedes-Benz","E 220","Silver","43699","26300km","1/2020","Automatic","143 kW (194 hp)","1950cc","Diesel","4.8 l/100km","4x2","Germany","https://carvago.com/car/49507295/mercedes-benz-e-220-d-t-avantgarde-143-kw",2022-10-21
"Opel","Karl","Blue","10899","43700km","9/2018","Manual","54 kW (73 hp)","999cc","Petrol","5.1 l/100km","4x2","Germany","https://carvago.com/car/51010290/opel-karl-1-0-rocks-54-kw",2022-10-21
"BMW","i3",NA,"27249","19995km","9/2019","Automatic","127 kW (173 hp)","Noemissionclass","Electric","4x2",NA,"France","https://carvago.com/car/44203714/bmw-i3-120-ah-127-kw",2022-10-21
"Volvo","V90 Cross Country","White","25999","121000km","5/2018","Automatic","140 kW (190 hp)","1969cc","Diesel","5.5 l/100km","4x4","Sweden","https://carvago.com/car/50994592/volvo-v90-cross-country-d4-awd-140-kw",2022-10-21
"BMW","540","Black","59299","19469km","7/2021","Automatic","245 kW (333 hp)","2998cc","Petrol","7.8 l/100km","4x4","Germany","https://carvago.com/car/52013970/bmw-540-i-touring-xdrive-245-kw",2022-10-21
"Audi","S6","Black","77549","49000km","2/2020","Automatic","257 kW (349 hp)","2967cc","Diesel","6.5 l/100km","4x4","Germany","https://carvago.com/car/48687130/audi-s6-257-kw",2022-10-21
"Suzuki","SX4 S-Cross","Blue","10799","144000km","4/2015","Manual","88 kW (120 hp)","1586cc","Petrol","5.7 l/100km","4x4","Germany","https://carvago.com/car/51968935/suzuki-sx4-s-cross-1-6-vvt-88-kw",2022-10-21
"Nissan","Primastar","Grey","23199","7245km","3/2022","Manual","96 kW (131 hp)","1997cc","Diesel","8 l/100km","4x2","Netherlands","https://carvago.com/car/52304048/nissan-primastar-l1h1-96-kw",2022-10-21
"Tesla","Model Y","Black","62649","14700km","2/2022","Automatic","378 kW (514 hp)","Noemissionclass","Electric","4x4",NA,"Germany","https://carvago.com/car/52268309/tesla-model-y-range-awd-378-kw",2022-10-21
"Seat","Arona","Blue","20999","25881km","5/2020","Manual","66 kW (90 hp)","999cc","Diesel","5 l/100km","4x2","France","https://carvago.com/car/49758472/seat-arona-tdi-66-kw",2022-10-21
"BMW","330","Blue","52649","15068km","2/2021","Automatic","210 kW (286 hp)","2993cc","Diesel","5 l/100km","4x2","Germany","https://carvago.com/car/51979392/bmw-330-210-kw",2022-10-21
"BMW","X2","White","30449","58000km","7/2021","Automatic","110 kW (150 hp)","1995cc","Diesel","4.1 l/100km","4x2","Spain","https://carvago.com/car/52260359/bmw-x2-110-kw",2022-10-21
"Audi","A6","Black","42099","15500km","4/2021","Automatic","150 kW (204 hp)","1968cc","Diesel","4.6 l/100km","4x2","Germany","https://carvago.com/car/51791707/audi-a6-avant-40-tdi-s-sport-150-kw",2022-10-21
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://carvago.com/car/51453046/skoda-citigo-1-0-mpi-green-tec-44-kw",2022-10-21
"Mercedes-Benz","A 220","Grey","29899","41730km","10/2019","Automatic","140 kW (190 hp)","1950cc","Diesel","4.4 l/100km","4x2","Italy","https://carvago.com/car/51940684/mercedes-benz-a-220-d-140-kw",2022-10-21
"MINI","Cooper S Cabrio","Red","24649","45910km","7/2019","Manual","141 kW (192 hp)","1998cc","Petrol","6 l/100km","4x2","Sweden","https://carvago.com/car/51453047/mini-cooper-s-cabrio-141-kw",2022-10-21
"Mercedes-Benz","A 250","Black","36199","5863km","1/2022","Manual","118 kW (160 hp)","1332cc","Hybrid","7 l/100km","4x2","Germany","https://carvago.com/car/51190797/mercedes-benz-a-250-e-118-kw",2022-10-21
"MG","ZS","Blue","30999","3156km","6/2022","Automatic","130 kW (177 hp)","2497cc","Electric","4x2",NA,"Germany","https://carvago.com/car/50715616/mg-zs-130-kw",2022-10-21
"Tesla","Model 3","Silver","54249","9756km","2/2022","Automatic","366 kW (498 hp)",NA,"Electric","14.8 kWh/100km","4x4","Germany","https://carvago.com/car/52351337/tesla-model-3-366-kw",2022-10-21
"BMW","i3","Other interior color","34949","6000km","7/2022","Automatic","127 kW (173 hp)","Noemissionclass","Electric","4x2",NA,"France","https://carvago.com/car/51388341/bmw-i3-120-ah-127-kw",2022-10-21
"Ford","Kuga",NA,"18149","73000km","6/2018","Manual","110 kW (150 hp)","1997cc","Diesel","5.2 l/100km","4x4","Germany","https://carvago.com/car/52227692/ford-kuga-2-0-4x4-110-kw",2022-10-21
"Tesla","Model 3","White","42749","45000km","3/2020","Automatic","239 kW (325 hp)","Noemissionclass","Electric","4x2",NA,"Germany","https://carvago.com/car/52033779/tesla-model-3-239-kw",2022-10-21
"Volkswagen","Arteon","White","33099","48467km","7/2019","Automatic","140 kW (190 hp)","1968cc","Diesel","4.6 l/100km","4x2","Germany","https://carvago.com/car/51543457/volkswagen-arteon-2-0-tdi-scr-dsg-elegance-140-kw",2022-10-21
"Audi","A6","White","52149","66890km","5/2020","Automatic","210 kW (286 hp)","2967cc","Diesel","5.9 l/100km","4x4","Germany","https://carvago.com/car/50579929/audi-a6-avant-50-tdi-quattro-210-kw",2022-10-21
"Cupra","Ateca","Red","40549","18156km","4/2020","Automatic","221 kW (300 hp)","1984cc","Petrol","7.4 l/100km","4x4","Germany","https://carvago.com/car/50769534/cupra-ateca-2-0-tsi-dsg-4drive-221-kw",2022-10-21
"Tesla","Model Y","White","60549","6950km","2/2022","Automatic","378 kW (514 hp)","Noemissionclass","Electric","4x4",NA,"Germany","https://carvago.com/car/52251185/tesla-model-y-range-awd-378-kw",2022-10-21
"Land Rover","Discovery Sport","Black","28149","92650km","1/2019","Manual","132 kW (179 hp)","1999cc","Diesel","6 l/100km","4x2","Czech Republic","https://carvago.com/car/51839851/land-rover-discovery-sport-132-kw",2022-10-21
"Chevrolet","Cruze","Blue","6899","83200km","10/2012","Manual","103 kW (140 hp)","1364cc","Petrol","5.7 l/100km","4x2","Germany","https://carvago.com/car/50820646/chevrolet-cruze-wagon-1-4t-103-kw",2022-10-21
"Seat","Arona","Silver","20899","17687km","6/2020","Manual","66 kW (90 hp)","999cc","Diesel","5 l/100km","4x2","France","https://carvago.com/car/51069447/seat-arona-tdi-66-kw",2022-10-21
"Audi","Q5","Black","32899","48400km","9/2019","Automatic","140 kW (190 hp)","1968cc","Diesel","6 l/100km","4x4","Sweden","https://carvago.com/car/52186898/audi-q5-40-tdi-quattro-s-tronic-140-kw",2022-10-21
"Audi","A5","Black","44149","5442km","3/2022","Automatic","150 kW (204 hp)","1968cc","Diesel","4.5 l/100km","4x2","Germany","https://carvago.com/car/52282470/audi-a5-150-kw",2022-10-21
