"brand","model","color","price","km","year","transmission","eng_capacity","fuel_type","consumption","drive_type","location","link","insertdate","id","eng_power_kw","eng_power_hp","age"
"Hyundai","Santa Fe","Grey",8299,134561,2011,"Manual",1995,"Diesel",9,"4x4","Germany","https://carvago.com/car/51869623/hyundai-santa-fe-110-kw","14/09/2022","51869623",110,150,11
"Mercedes-Benz","E 200","Beige",18999,146410,2017,"Automatic",1950,"Diesel",5,"4x2","Germany","https://carvago.com/car/51867538/mercedes-benz-e-200-d-110-kw","14/09/2022","51867538",110,150,5
"Opel","Insignia","Black",11499,105035,2017,"Manual",1956,"Diesel",6,"4x2","Poland","https://carvago.com/car/51779228/opel-insignia-2-0-cdti-ecoflex-edition-125-kw","14/09/2022","51779228",125,170,5
"BMW","530","Black",28399,126150,2019,"Automatic",2993,"Diesel",5.8,"4x4","Germany","https://carvago.com/car/51871304/bmw-530-d-touring-xdrive-195-kw","14/09/2022","51871304",195,265,3
"DS Automobiles","DS9","Black",50649,5000,2021,"Automatic",1598,"Hybrid",1.5,"4x2","Spain","https://carvago.com/car/51869673/ds-automobiles-ds9-1-6-e-tense-eat8-165-kw","14/09/2022","51869673",165,224,1
"Audi","SQ2","White",55249,1100,2022,"Automatic",1984,"Petrol",7.7,"4x4","Germany","https://carvago.com/car/48749575/audi-sq2-tfsi-s-221-kw","14/09/2022","48749575",221,300,0
"Maserati","Levante","Black",53999,74000,2021,"Automatic",2987,"Diesel",7,"4x2","Italy","https://carvago.com/car/51879590/maserati-levante-184-kw","14/09/2022","51879590",184,250,1
"Volkswagen","Polo","Beige",17799,950,2021,"Automatic",1598,"Petrol",4,"4x2","Poland","https://carvago.com/car/51151980/volkswagen-polo-77-kw","14/09/2022","51151980",77,105,1
"Audi","Q5","White",50899,12000,2021,"Automatic",1984,"Hybrid",7.2,"4x4","Germany","https://carvago.com/car/51849147/audi-q5-195-kw","14/09/2022","51849147",195,265,1
"BMW","218","White",18349,83600,2019,"Manual",1995,"Diesel",4.3,"4x2","Germany","https://carvago.com/car/51851260/bmw-218-110-kw","14/09/2022","51851260",110,150,3
"Audi","Q2","White",27649,20000,2019,"Automatic",1498,"Petrol",6.5,"4x2","Germany","https://carvago.com/car/51834090/audi-q2-35-tfsi-s-design-110-kw","14/09/2022","51834090",110,150,3
"Audi","A5","White",37349,1796,2022,"Automatic",1984,"Petrol",6,"4x2","Poland","https://carvago.com/car/51861567/audi-a5-110-kw","14/09/2022","51861567",110,150,0
"Dacia","Sandero","Blue",3199,132000,2009,"Manual",1390,"Petrol",7,"4x2","Germany","https://carvago.com/car/50141743/dacia-sandero-1-4-mpi-ambiance-55-kw","14/09/2022","50141743",55,75,13
"Audi","A4","White",47849,42293,2019,"Automatic",2967,"Diesel",6,"4x4","Germany","https://carvago.com/car/49884282/audi-a4-avant-50-tdi-quattro-sport-210-kw","14/09/2022","49884282",210,286,3
"Mercedes-Benz","E 200","Black",11399,128100,2012,"Automatic",1796,"Petrol",8,"4x2","Germany","https://carvago.com/car/51819811/mercedes-benz-e-200-t-7g-tronic-135-kw","14/09/2022","51819811",135,184,10
"Seat","Leon","Black",25249,12283,2021,"Automatic",2000,"Diesel",5,"4x2","Spain","https://carvago.com/car/51723970/seat-leon-st-2-0-tdi-dpf-dsg-style-110-kw","14/09/2022","51723970",110,150,1
"Peugeot","Expert","White",17899,85000,2018,"Manual",1997,"Diesel",6,"4x2","France","https://carvago.com/car/51857805/peugeot-expert-90-kw","14/09/2022","51857805",90,122,4
"Porsche","Cayenne","Black",29699,149300,2014,"Automatic",4806,"Petrol",NA,NA,"Poland","https://carvago.com/car/51587888/porsche-cayenne-gts-s-309-kw","14/09/2022","51587888",309,420,8
"Jaguar","XE","Grey",44299,8500,2021,"Automatic",1999,"Diesel",6,"4x2","Belgium","https://carvago.com/car/37636891/jaguar-xe-d180-s-132-kw","14/09/2022","37636891",132,179,1
